Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
Total,Greater Sydney,Middle Ring,Canterbury-Bankstown,Total,590,865,1140,896,"1,223",-1.23%,14.57%,0.91%,48.06%
Total,Greater Sydney,Middle Ring,Canterbury-Bankstown,Non Strata,955,1100,1300,1157,665,10.00%,11.39%,-5.14%,52.87%
Total,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,469,573,690,584,558,-1.29%,1.33%,9.20%,42.71%
Total,Greater Sydney,Middle Ring,Cumberland,Total,545,718,930,761,717,-1.64%,4.06%,-7.72%,27.35%
Total,Greater Sydney,Middle Ring,Cumberland,Non Strata,847,940,1150,1000,339,3.30%,4.44%,-15.67%,22.83%
Total,Greater Sydney,Middle Ring,Cumberland,Strata,450,550,614,547,378,-3.51%,-4.01%,0.80%,31.71%
Total,Greater Sydney,Middle Ring,Georges River,Total,682,998,1549,1983,586,-5.00%,20.18%,-5.02%,37.88%
Total,Greater Sydney,Middle Ring,Georges River,Non Strata,1273,1495,1832,1579,251,6.79%,9.93%,-17.97%,37.16%
Total,Greater Sydney,Middle Ring,Georges River,Strata,620,710,864,2285,335,5.19%,4.41%,7.72%,38.43%
Total,Greater Sydney,Middle Ring,Hunters Hill,Total,1240,2200,2930,2642,49,-8.81%,-16.29%,-27.94%,32.43%
Total,Greater Sydney,Middle Ring,Hunters Hill,Non Strata,2388,2855,3491,3735,s,-4.19%,-22.84%,-37.78%,21.74%
Total,Greater Sydney,Middle Ring,Hunters Hill,Strata,867,1100,1550,1185,s,-8.71%,29.03%,-8.70%,50.00%
Total,Greater Sydney,Middle Ring,Ku-Ring-Gai,Total,1233,2250,3000,2307,498,12.50%,28.46%,-19.81%,16.36%
Total,Greater Sydney,Middle Ring,Ku-Ring-Gai,Non Strata,2328,2783,3500,3011,312,11.30%,20.98%,-24.64%,27.35%
Total,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,850,990,1381,1127,186,4.21%,4.21%,-10.14%,1.64%
Total,Greater Sydney,Middle Ring,Parramatta,Total,630,795,1135,917,"1,185",-0.62%,5.30%,-5.58%,42.60%
Total,Greater Sydney,Middle Ring,Parramatta,Non Strata,1175,1360,1610,1409,375,5.43%,8.76%,-19.53%,37.87%
Total,Greater Sydney,Middle Ring,Parramatta,Strata,570,690,800,689,810,1.92%,4.86%,2.66%,44.90%
Total,Greater Sydney,Middle Ring,Ryde,Total,715,930,1419,1169,611,-1.27%,9.41%,-6.57%,25.98%
Total,Greater Sydney,Middle Ring,Ryde,Non Strata,1741,1973,2439,2105,158,12.71%,12.71%,-33.61%,24.41%
Total,Greater Sydney,Middle Ring,Ryde,Strata,665,800,971,843,453,3.90%,5.68%,8.89%,26.54%
Total,Greater Sydney,Middle Ring,Strathfield,Total,600,660,780,1039,209,-9.59%,-1.64%,-21.13%,22.22%
Total,Greater Sydney,Middle Ring,Strathfield,Non Strata,1906,2873,3184,2622,42,9.64%,38.23%,-35.38%,7.69%
Total,Greater Sydney,Middle Ring,Strathfield,Strata,576,635,685,641,167,-4.87%,-2.31%,-16.50%,26.52%
Total,Greater Sydney,Middle Ring,Willoughby,Total,995,1725,2910,2055,263,-10.39%,-1.99%,-13.20%,29.56%
Total,Greater Sydney,Middle Ring,Willoughby,Non Strata,2507,2970,3700,3124,125,12.08%,13.79%,-25.60%,31.58%
Total,Greater Sydney,Middle Ring,Willoughby,Strata,864,1015,1215,1087,138,6.62%,-4.25%,2.22%,27.78%
Total,Greater Sydney,Outer Ring,Total,Total,660,825,1195,1013,"11,143",3.13%,10.00%,-10.27%,39.29%
Total,Greater Sydney,Outer Ring,Total,Non Strata,729,890,1310,1123,"7,746",4.22%,11.25%,-14.58%,38.94%
Total,Greater Sydney,Outer Ring,Total,Strata,530,655,865,762,"3,397",0.77%,2.34%,1.40%,40.08%
Total,Greater Sydney,Outer Ring,Blacktown,Total,626,760,940,802,"1,589",3.95%,8.57%,1.66%,57.95%
Total,Greater Sydney,Outer Ring,Blacktown,Non Strata,720,850,1003,879,"1,189",6.92%,11.84%,-1.25%,53.82%
Total,Greater Sydney,Outer Ring,Blacktown,Strata,494,570,658,572,400,3.64%,0.00%,11.42%,71.67%
Total,Greater Sydney,Outer Ring,Blue Mountains,Total,645,755,940,808,379,5.59%,13.75%,-19.53%,27.18%
Total,Greater Sydney,Outer Ring,Blue Mountains,Non Strata,650,767,950,820,358,6.54%,15.36%,-19.91%,26.50%
Total,Greater Sydney,Outer Ring,Blue Mountains,Strata,530,600,675,603,s,16.50%,26.32%,-12.50%,40.00%
Total,Greater Sydney,Outer Ring,Camden,Total,721,821,954,859,439,7.96%,13.17%,-26.96%,28.74%
Total,Greater Sydney,Outer Ring,Camden,Non Strata,740,831,970,876,414,7.92%,12.91%,-26.73%,33.55%
Total,Greater Sydney,Outer Ring,Camden,Strata,495,610,655,586,s,-8.61%,1.67%,-30.56%,-19.35%
Total,Greater Sydney,Outer Ring,Campbelltown,Total,590,675,750,667,621,7.14%,12.50%,0.98%,42.76%
Total,Greater Sydney,Outer Ring,Campbelltown,Non Strata,645,700,770,714,498,7.69%,11.11%,-2.73%,45.61%
Total,Greater Sydney,Outer Ring,Campbelltown,Strata,423,465,533,474,123,4.97%,4.03%,19.42%,32.26%
Total,Greater Sydney,Outer Ring,Central Coast,Total,600,740,940,828,"2,000",5.75%,15.66%,-8.34%,50.83%
Total,Greater Sydney,Outer Ring,Central Coast,Non Strata,655,796,1050,901,"1,513",8.30%,19.70%,-11.73%,47.18%
Total,Greater Sydney,Outer Ring,Central Coast,Strata,455,555,710,602,487,-1.33%,9.68%,4.06%,63.42%
Total,Greater Sydney,Outer Ring,Fairfield,Total,650,803,901,787,416,4.22%,10.13%,-21.36%,38.67%
Total,Greater Sydney,Outer Ring,Fairfield,Non Strata,765,855,935,881,315,4.27%,10.75%,-20.85%,37.55%
Total,Greater Sydney,Outer Ring,Fairfield,Strata,415,470,561,494,101,7.80%,14.77%,-22.90%,42.25%
Total,Greater Sydney,Outer Ring,Hawkesbury,Total,673,778,1020,894,282,-0.32%,13.50%,-13.50%,38.92%
Total,Greater Sydney,Outer Ring,Hawkesbury,Non Strata,700,796,1085,922,260,-9.52%,10.59%,-9.09%,61.49%
Total,Greater Sydney,Outer Ring,Hawkesbury,Strata,540,573,631,563,s,13.37%,11.17%,-45.00%,-47.62%
Total,Greater Sydney,Outer Ring,Hornsby,Total,740,1280,1700,1293,588,1.39%,22.82%,-2.00%,33.64%
Total,Greater Sydney,Outer Ring,Hornsby,Non Strata,1371,1630,1908,1672,340,12.41%,16.43%,-16.67%,36.55%
Total,Greater Sydney,Outer Ring,Hornsby,Strata,629,701,861,774,248,1.26%,3.01%,29.17%,29.84%
Total,Greater Sydney,Outer Ring,Liverpool,Total,590,745,889,747,641,4.20%,9.56%,-15.66%,38.15%
Total,Greater Sydney,Outer Ring,Liverpool,Non Strata,733,830,950,849,443,4.40%,6.41%,-18.86%,38.01%
Total,Greater Sydney,Outer Ring,Liverpool,Strata,440,520,600,520,198,1.96%,1.96%,-7.48%,38.46%
Total,Greater Sydney,Outer Ring,Northern Beaches,Total,1065,1815,2400,1924,"1,087",7.40%,17.10%,-21.17%,15.03%
Total,Greater Sydney,Outer Ring,Northern Beaches,Non Strata,2000,2350,3004,2616,546,11.90%,21.76%,-27.39%,13.51%
Total,Greater Sydney,Outer Ring,Northern Beaches,Strata,858,1060,1490,1226,541,9.05%,9.56%,-13.72%,16.59%
Total,Greater Sydney,Outer Ring,Penrith,Total,552,696,810,693,945,4.66%,8.75%,2.27%,36.56%
Total,Greater Sydney,Outer Ring,Penrith,Non Strata,717,780,863,810,576,7.07%,9.86%,-5.88%,32.11%
Total,Greater Sydney,Outer Ring,Penrith,Strata,438,522,580,510,369,0.77%,4.71%,18.27%,44.14%
Total,Greater Sydney,Outer Ring,Sutherland Shire,Total,786,1130,1503,1203,"1,166",2.26%,12.44%,-9.05%,38.64%
Total,Greater Sydney,Outer Ring,Sutherland Shire,Non Strata,1236,1465,1760,1563,511,9.74%,12.69%,-22.69%,25.86%
Total,Greater Sydney,Outer Ring,Sutherland Shire,Strata,681,813,1043,921,655,1.63%,9.13%,5.48%,50.57%
Total,Greater Sydney,Outer Ring,The Hills Shire,Total,999,1350,1760,1411,788,11.11%,14.41%,-16.79%,39.47%
Total,Greater Sydney,Outer Ring,The Hills Shire,Non Strata,1270,1500,1870,1602,590,13.55%,15.38%,-19.40%,39.81%
Total,Greater Sydney,Outer Ring,The Hills Shire,Strata,697,819,979,841,198,-1.95%,2.99%,-7.91%,38.46%
Total,Greater Sydney,Outer Ring,Wollondilly,Total,661,813,1129,900,202,8.40%,8.94%,-15.48%,40.28%
Total,Greater Sydney,Outer Ring,Wollondilly,Non Strata,685,830,1180,922,193,8.50%,7.93%,-16.45%,44.03%
Total,Greater Sydney,Outer Ring,Wollondilly,Strata,-,-,-,-,-,-,-,-,-
Total,Rest of GMR,Total,Total,Total,525,650,820,711,"4,456",2.36%,11.11%,-12.76%,28.75%
Total,Rest of GMR,Total,Total,Non Strata,560,690,875,757,"3,298",3.29%,14.05%,-14.71%,23.71%
Total,Rest of GMR,Total,Total,Strata,450,550,675,578,"1,158",1.85%,8.91%,-6.69%,45.66%
Total,Rest of GMR,Total,Cessnock,Total,358,430,540,471,314,5.52%,14.67%,-18.44%,31.38%
Total,Rest of GMR,Total,Cessnock,Non Strata,382,450,560,495,272,7.14%,16.88%,-23.16%,23.64%
Total,Rest of GMR,Total,Cessnock,Strata,291,311,358,317,42,0.32%,-2.81%,35.48%,121.05%
Total,Rest of GMR,Total,Kiama,Total,872,1050,1451,1202,104,9.20%,20.00%,-31.58%,40.54%
Total,Rest of GMR,Total,Kiama,Non Strata,985,1300,1655,1368,77,23.34%,43.65%,-28.70%,37.50%
Total,Rest of GMR,Total,Kiama,Strata,695,760,861,728,s,10.14%,13.94%,-38.64%,50.00%
Total,Rest of GMR,Total,Lake Macquarie,Total,550,665,820,709,"1,044",4.72%,14.66%,-11.90%,32.32%
Total,Rest of GMR,Total,Lake Macquarie,Non Strata,582,691,854,738,882,4.66%,16.09%,-10.64%,31.84%
Total,Rest of GMR,Total,Lake Macquarie,Strata,455,530,629,554,162,1.92%,15.85%,-18.18%,35.00%
Total,Rest of GMR,Total,Maitland,Total,460,560,655,578,440,8.74%,17.65%,-4.56%,28.28%
Total,Rest of GMR,Total,Maitland,Non Strata,480,570,660,587,398,5.56%,14.34%,-3.40%,28.39%
Total,Rest of GMR,Total,Maitland,Strata,331,398,479,484,42,2.05%,2.31%,-14.29%,27.27%
Total,Rest of GMR,Total,Newcastle,Total,550,681,850,761,869,2.41%,13.03%,-13.88%,23.61%
Total,Rest of GMR,Total,Newcastle,Non Strata,620,730,914,838,574,3.55%,14.06%,-19.83%,18.35%
Total,Rest of GMR,Total,Newcastle,Strata,475,560,718,611,295,1.82%,9.80%,0.68%,35.32%
Total,Rest of GMR,Total,Port Stephens,Total,452,595,745,625,437,-4.03%,5.12%,-19.82%,31.23%
Total,Rest of GMR,Total,Port Stephens,Non Strata,506,650,786,674,323,-3.70%,5.31%,-21.22%,25.19%
Total,Rest of GMR,Total,Port Stephens,Strata,346,473,594,484,114,9.25%,15.24%,-15.56%,52.00%
Total,Rest of GMR,Total,Shellharbour,Total,590,681,821,725,348,8.88%,11.56%,-3.33%,13.73%
Total,Rest of GMR,Total,Shellharbour,Non Strata,641,725,875,777,258,9.02%,12.40%,-5.49%,9.79%
Total,Rest of GMR,Total,Shellharbour,Strata,508,565,623,575,90,4.63%,10.24%,3.45%,26.76%
Total,Rest of GMR,Total,Wollongong,Total,577,720,922,793,900,0.00%,5.11%,-10.98%,33.53%
Total,Rest of GMR,Total,Wollongong,Non Strata,690,853,1092,923,514,2.80%,13.77%,-15.32%,18.71%
Total,Rest of GMR,Total,Wollongong,Strata,499,600,716,620,386,0.42%,2.56%,-4.46%,60.17%
Total,Rest of GMR,Newcastle SSD,Total,Total,499,620,775,669,"3,104",3.25%,13.35%,-13.42%,28.96%
Total,Rest of GMR,Newcastle SSD,Total,Non Strata,526,650,805,701,"2,449",3.17%,14.84%,-14.94%,26.11%
Total,Rest of GMR,Newcastle SSD,Total,Strata,419,515,640,548,655,4.89%,11.96%,-7.22%,40.86%
Total,Rest of GMR,Newcastle SSD,Cessnock,Total,358,430,540,471,314,5.52%,14.67%,-18.44%,31.38%
Total,Rest of GMR,Newcastle SSD,Cessnock,Non Strata,382,450,560,495,272,7.14%,16.88%,-23.16%,23.64%
Total,Rest of GMR,Newcastle SSD,Cessnock,Strata,291,311,358,317,42,0.32%,-2.81%,35.48%,121.05%
Total,Rest of GMR,Newcastle SSD,Lake Macquarie,Total,550,665,820,709,"1,044",4.72%,14.66%,-11.90%,32.32%
Total,Rest of GMR,Newcastle SSD,Lake Macquarie,Non Strata,582,691,854,738,882,4.66%,16.09%,-10.64%,31.84%
Total,Rest of GMR,Newcastle SSD,Lake Macquarie,Strata,455,530,629,554,162,1.92%,15.85%,-18.18%,35.00%
Total,Rest of GMR,Newcastle SSD,Maitland,Total,460,560,655,578,440,8.74%,17.65%,-4.56%,28.28%
Total,Rest of GMR,Newcastle SSD,Maitland,Non Strata,480,570,660,587,398,5.56%,14.34%,-3.40%,28.39%
Total,Rest of GMR,Newcastle SSD,Maitland,Strata,331,398,479,484,42,2.05%,2.31%,-14.29%,27.27%
Total,Rest of GMR,Newcastle SSD,Newcastle,Total,550,681,850,761,869,2.41%,13.03%,-13.88%,23.61%
Total,Rest of GMR,Newcastle SSD,Newcastle,Non Strata,620,730,914,838,574,3.55%,14.06%,-19.83%,18.35%
Total,Rest of GMR,Newcastle SSD,Newcastle,Strata,475,560,718,611,295,1.82%,9.80%,0.68%,35.32%
Total,Rest of GMR,Newcastle SSD,Port Stephens,Total,452,595,745,625,437,-4.03%,5.12%,-19.82%,31.23%
Total,Rest of GMR,Newcastle SSD,Port Stephens,Non Strata,506,650,786,674,323,-3.70%,5.31%,-21.22%,25.19%
Total,Rest of GMR,Newcastle SSD,Port Stephens,Strata,346,473,594,484,114,9.25%,15.24%,-15.56%,52.00%
Total,Rest of GMR,Wollongong SSD,Total,Total,592,721,930,807,"1,352",1.48%,7.54%,-11.23%,28.27%
Total,Rest of GMR,Wollongong SSD,Total,Non Strata,679,840,1050,919,849,5.00%,16.67%,-14.07%,17.27%
Total,Rest of GMR,Wollongong SSD,Total,Strata,500,590,705,618,503,1.37%,3.06%,-5.98%,52.42%
Total,Rest of GMR,Wollongong SSD,Kiama,Total,872,1050,1451,1202,104,9.20%,20.00%,-31.58%,40.54%
Total,Rest of GMR,Wollongong SSD,Kiama,Non Strata,985,1300,1655,1368,77,23.34%,43.65%,-28.70%,37.50%
Total,Rest of GMR,Wollongong SSD,Kiama,Strata,695,760,861,728,s,10.14%,13.94%,-38.64%,50.00%
Total,Rest of GMR,Wollongong SSD,Shellharbour,Total,590,681,821,725,348,8.88%,11.56%,-3.33%,13.73%
Total,Rest of GMR,Wollongong SSD,Shellharbour,Non Strata,641,725,875,777,258,9.02%,12.40%,-5.49%,9.79%
Total,Rest of GMR,Wollongong SSD,Shellharbour,Strata,508,565,623,575,90,4.63%,10.24%,3.45%,26.76%
Total,Rest of GMR,Wollongong SSD,Wollongong,Total,577,720,922,793,900,0.00%,5.11%,-10.98%,33.53%
Total,Rest of GMR,Wollongong SSD,Wollongong,Non Strata,690,853,1092,923,514,2.80%,13.77%,-15.32%,18.71%
Total,Rest of GMR,Wollongong SSD,Wollongong,Strata,499,600,716,620,386,0.42%,2.56%,-4.46%,60.17%
Total,Rest of State,Total,Total,Total,340,485,690,560,"10,799",2.11%,12.79%,-11.65%,46.99%
Total,Rest of State,Total,Total,Non Strata,345,500,710,575,"9,244",1.94%,13.52%,-11.51%,48.64%
Total,Rest of State,Total,Total,Strata,318,435,579,472,"1,555",3.57%,11.54%,-12.49%,37.85%
Total,Rest of State,Total,Albury,Total,299,380,500,403,361,2.56%,19.12%,-10.64%,34.70%
Total,Rest of State,Total,Albury,Non Strata,340,413,530,443,285,-0.12%,19.02%,-14.67%,31.34%
Total,Rest of State,Total,Albury,Strata,178,221,299,251,76,-4.74%,2.79%,8.57%,49.02%
Total,Rest of State,Total,Armidale Regional,Total,296,355,455,403,179,-6.58%,7.58%,14.01%,110.59%
Total,Rest of State,Total,Armidale Regional,Non Strata,310,372,459,408,154,-2.24%,12.58%,6.21%,81.18%
Total,Rest of State,Total,Armidale Regional,Strata,200,269,355,373,s,-29.53%,,108.33%,
Total,Rest of State,Total,Ballina,Total,635,795,1143,927,218,8.16%,20.00%,-22.42%,57.97%
Total,Rest of State,Total,Ballina,Non Strata,729,930,1335,1074,139,9.41%,27.57%,-20.11%,43.30%
Total,Rest of State,Total,Ballina,Strata,525,645,793,668,79,11.02%,26.47%,-26.17%,92.68%
Total,Rest of State,Total,Balranald,Total,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Bathurst Regional,Total,371,460,550,472,262,0.00%,2.79%,-9.34%,55.95%
Total,Rest of State,Total,Bathurst Regional,Non Strata,399,475,571,495,234,-1.14%,0.53%,-7.87%,58.11%
Total,Rest of State,Total,Bathurst Regional,Strata,232,259,336,281,s,-16.45%,-27.75%,-20.00%,40.00%
Total,Rest of State,Total,Bega Valley,Total,428,580,711,584,260,6.42%,28.89%,-6.47%,80.56%
Total,Rest of State,Total,Bega Valley,Non Strata,500,630,760,637,199,2.86%,27.02%,-8.72%,84.26%
Total,Rest of State,Total,Bega Valley,Strata,315,395,490,411,61,7.19%,21.54%,1.67%,69.44%
Total,Rest of State,Total,Bellingen,Total,501,665,868,716,54,3.10%,10.83%,-41.94%,20.00%
Total,Rest of State,Total,Bellingen,Non Strata,528,678,900,727,52,-0.37%,11.75%,-38.82%,30.00%
Total,Rest of State,Total,Bellingen,Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Berrigan,Total,218,320,423,330,63,39.13%,42.86%,6.78%,53.66%
Total,Rest of State,Total,Berrigan,Non Strata,220,323,426,335,60,38.41%,39.01%,3.45%,50.00%
Total,Rest of State,Total,Berrigan,Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Bland,Total,148,265,353,256,31,35.90%,3.92%,-11.43%,0.00%
Total,Rest of State,Total,Bland,Non Strata,148,265,353,256,31,35.90%,3.92%,-11.43%,0.00%
Total,Rest of State,Total,Blayney,Total,361,433,520,459,49,16.24%,21.97%,-9.26%,32.43%
Total,Rest of State,Total,Blayney,Non Strata,361,433,520,459,49,16.24%,21.97%,-9.26%,36.11%
Total,Rest of State,Total,Bogan,Total,139,172,195,180,s,18.62%,29.81%,114.29%,650.00%
Total,Rest of State,Total,Bogan,Non Strata,139,172,195,180,s,18.62%,29.81%,114.29%,650.00%
Total,Rest of State,Total,Bourke,Total,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Bourke,Non Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Brewarrina,Total,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Brewarrina,Non Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Broken Hill,Total,90,120,202,146,107,-2.44%,-4.00%,15.05%,50.70%
Total,Rest of State,Total,Broken Hill,Non Strata,90,120,202,146,107,-2.44%,-4.00%,15.05%,50.70%
Total,Rest of State,Total,Byron,Total,1000,1400,2100,1653,203,25.00%,58.19%,-32.78%,27.67%
Total,Rest of State,Total,Byron,Non Strata,1198,1563,2425,1824,156,21.12%,58.63%,-26.07%,50.00%
Total,Rest of State,Total,Byron,Strata,719,875,1168,1084,47,13.64%,30.60%,-48.35%,-14.55%
Total,Rest of State,Total,Cabonne,Total,230,290,650,436,41,-22.67%,-22.04%,-36.92%,51.85%
Total,Rest of State,Total,Cabonne,Non Strata,230,290,650,436,41,-22.67%,-22.04%,-36.92%,51.85%
Total,Rest of State,Total,Carrathool,Total,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Carrathool,Non Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Central Darling,Total,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Central Darling,Non Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Clarence Valley,Total,353,455,630,509,274,3.41%,8.98%,-21.49%,18.10%
Total,Rest of State,Total,Clarence Valley,Non Strata,355,465,635,516,241,5.68%,8.14%,-20.72%,21.72%
Total,Rest of State,Total,Clarence Valley,Strata,349,421,505,459,33,-4.32%,14.87%,-26.67%,-2.94%
Total,Rest of State,Total,Cobar,Total,140,194,229,204,s,29.00%,86.96%,-21.74%,0.00%
Total,Rest of State,Total,Cobar,Non Strata,140,194,229,204,s,29.00%,86.96%,-21.74%,0.00%
Total,Rest of State,Total,Coffs Harbour,Total,483,630,810,674,381,8.62%,23.53%,-16.08%,31.38%
Total,Rest of State,Total,Coffs Harbour,Non Strata,589,710,876,755,276,10.08%,29.09%,-13.48%,35.96%
Total,Rest of State,Total,Coffs Harbour,Strata,375,441,540,461,105,3.76%,19.84%,-22.22%,20.69%
Total,Rest of State,Total,Coolamon,Total,136,210,280,204,s,-4.55%,-26.96%,-17.39%,35.71%
Total,Rest of State,Total,Coolamon,Non Strata,136,210,280,204,s,-4.55%,-26.96%,-17.39%,35.71%
Total,Rest of State,Total,Coonamble,Total,83,95,143,118,s,-2.06%,171.43%,18.18%,333.33%
Total,Rest of State,Total,Coonamble,Non Strata,83,95,143,118,s,-2.06%,171.43%,18.18%,333.33%
Total,Rest of State,Total,Gundagai,Total,223,275,426,325,66,-8.79%,8.91%,11.86%,26.92%
Total,Rest of State,Total,Gundagai,Non Strata,220,280,430,326,65,-7.67%,2.94%,12.07%,32.65%
Total,Rest of State,Total,Gundagai,Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Cowra,Total,225,300,425,333,73,8.70%,7.14%,2.82%,97.30%
Total,Rest of State,Total,Cowra,Non Strata,225,310,428,334,72,12.96%,10.54%,5.88%,94.59%
Total,Rest of State,Total,Cowra,Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Western Plains Regional,Total,310,385,485,427,269,6.94%,12.41%,-15.14%,41.58%
Total,Rest of State,Total,Western Plains Regional,Non Strata,310,390,488,430,263,6.85%,11.84%,-14.05%,45.30%
Total,Rest of State,Total,Western Plains Regional,Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Dungog,Total,433,600,843,648,36,14.29%,20.00%,-40.00%,33.33%
Total,Rest of State,Total,Dungog,Non Strata,433,600,843,648,36,14.29%,20.00%,-40.00%,33.33%
Total,Rest of State,Total,Edward River,Total,209,275,369,317,58,22.22%,11.79%,-12.12%,56.76%
Total,Rest of State,Total,Edward River,Non Strata,209,275,369,317,58,15.79%,11.79%,-6.45%,56.76%
Total,Rest of State,Total,Eurobodalla,Total,470,615,750,627,331,3.54%,26.02%,-8.06%,53.24%
Total,Rest of State,Total,Eurobodalla,Non Strata,520,649,777,653,280,4.18%,24.71%,-8.50%,65.68%
Total,Rest of State,Total,Eurobodalla,Strata,346,450,555,486,51,7.53%,25.00%,-5.56%,8.51%
Total,Rest of State,Total,Federation,Total,252,315,438,367,71,2.44%,8.62%,-24.47%,1.43%
Total,Rest of State,Total,Federation,Non Strata,289,372,444,393,54,19.84%,23.83%,-33.33%,-5.26%
Total,Rest of State,Total,Federation,Strata,196,240,300,286,s,-15.79%,-12.73%,30.77%,30.77%
Total,Rest of State,Total,Forbes,Total,244,320,373,327,40,1.91%,12.28%,-28.57%,14.29%
Total,Rest of State,Total,Forbes,Non Strata,244,320,373,327,40,1.91%,12.28%,-28.57%,14.29%
Total,Rest of State,Total,Gilgandra,Total,150,187,248,191,s,38.33%,3.75%,12.50%,500.00%
Total,Rest of State,Total,Gilgandra,Non Strata,150,187,248,191,s,38.33%,3.75%,12.50%,500.00%
Total,Rest of State,Total,Glen Innes Severn,Total,180,250,326,269,52,4.17%,28.21%,-8.77%,57.58%
Total,Rest of State,Total,Glen Innes Severn,Non Strata,180,250,326,269,52,4.17%,28.21%,-8.77%,57.58%
Total,Rest of State,Total,Goulburn Mulwaree,Total,400,498,626,537,212,3.75%,19.88%,19.10%,94.50%
Total,Rest of State,Total,Goulburn Mulwaree,Non Strata,405,500,625,537,193,3.09%,18.06%,18.40%,101.04%
Total,Rest of State,Total,Goulburn Mulwaree,Strata,326,449,900,536,s,36.06%,20.70%,26.67%,46.15%
Total,Rest of State,Total,Greater Hume Shire,Total,173,287,407,308,54,3.33%,23.33%,0.00%,35.00%
Total,Rest of State,Total,Greater Hume Shire,Non Strata,173,287,407,308,54,3.33%,23.33%,0.00%,35.00%
Total,Rest of State,Total,Griffith,Total,325,430,503,426,75,4.88%,20.79%,-7.41%,13.64%
Total,Rest of State,Total,Griffith,Non Strata,325,439,517,431,70,4.84%,22.38%,-7.89%,9.38%
Total,Rest of State,Total,Griffith,Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Gunnedah,Total,215,300,385,311,61,-24.05%,-7.98%,3.39%,22.00%
Total,Rest of State,Total,Gunnedah,Non Strata,215,300,390,313,57,-24.05%,-7.98%,-3.39%,14.00%
Total,Rest of State,Total,Gunnedah,Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Gwydir,Total,125,169,223,176,s,-26.52%,-14.43%,26.32%,140.00%
Total,Rest of State,Total,Gwydir,Non Strata,125,169,223,176,s,-26.52%,-14.43%,26.32%,140.00%
Total,Rest of State,Total,Hay,Total,130,172,220,179,s,27.41%,14.67%,54.55%,466.67%
Total,Rest of State,Total,Hay,Non Strata,130,172,220,179,s,27.41%,14.67%,54.55%,466.67%
Total,Rest of State,Total,Hilltops,Total,230,304,392,331,115,-1.62%,12.59%,-14.18%,88.52%
Total,Rest of State,Total,Hilltops,Non Strata,236,310,398,335,110,-2.97%,14.81%,-12.70%,80.33%
Total,Rest of State,Total,Hilltops,Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Inverell,Total,243,299,391,340,87,4.00%,1.70%,-6.45%,97.73%
Total,Rest of State,Total,Inverell,Non Strata,241,300,391,340,86,2.83%,1.87%,-6.52%,95.45%
Total,Rest of State,Total,Inverell,Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Junee,Total,230,300,358,308,s,19.80%,0.17%,-24.14%,15.79%
Total,Rest of State,Total,Junee,Non Strata,230,300,358,308,s,19.80%,0.17%,-24.14%,15.79%
Total,Rest of State,Total,Kempsey,Total,319,450,604,489,136,2.16%,25.30%,-3.55%,7.94%
Total,Rest of State,Total,Kempsey,Non Strata,350,475,644,513,121,7.95%,27.35%,-5.47%,12.04%
Total,Rest of State,Total,Kempsey,Strata,253,280,342,300,s,-33.33%,-7.59%,15.38%,-16.67%
Total,Rest of State,Total,Kyogle,Total,276,360,480,387,55,2.86%,5.88%,-14.06%,120.00%
Total,Rest of State,Total,Kyogle,Non Strata,273,365,488,388,54,3.85%,7.21%,-11.48%,116.00%
Total,Rest of State,Total,Kyogle,Strata,-,-,-,-,-,-,-,-,-
Total,Rest of State,Total,Lachlan,Total,186,235,281,236,s,14.63%,62.07%,0.00%,166.67%
Total,Rest of State,Total,Lachlan,Non Strata,186,235,281,236,s,14.63%,62.07%,0.00%,166.67%
Total,Rest of State,Total,Leeton,Total,176,248,297,255,63,3.33%,-8.49%,0.00%,65.79%
