Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
Total,Total,Total,Canada Bay,Non Strata,1956,2430,2750,2429,126,13.02%,21.50%,-15.44%,16.67%
Total,Total,Total,Canada Bay,Strata,825,1013,1250,1091,297,12.44%,7.71%,6.83%,51.53%
Total,Total,Total,Canterbury-Bankstown,Total,590,865,1140,896,"1,223",-1.23%,14.57%,0.91%,48.06%
Total,Total,Total,Canterbury-Bankstown,Non Strata,955,1100,1300,1157,665,10.00%,11.39%,-5.14%,52.87%
Total,Total,Total,Canterbury-Bankstown,Strata,469,573,690,584,558,-1.29%,1.33%,9.20%,42.71%
Total,Total,Total,Carrathool,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Carrathool,Non Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Central Coast,Total,600,740,940,828,"2,000",5.75%,15.66%,-8.34%,50.83%
Total,Total,Total,Central Coast,Non Strata,655,796,1050,901,"1,513",8.30%,19.70%,-11.73%,47.18%
Total,Total,Total,Central Coast,Strata,455,555,710,602,487,-1.33%,9.68%,4.06%,63.42%
Total,Total,Total,Central Darling,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Central Darling,Non Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Cessnock,Total,358,430,540,471,314,5.52%,14.67%,-18.44%,31.38%
Total,Total,Total,Cessnock,Non Strata,382,450,560,495,272,7.14%,16.88%,-23.16%,23.64%
Total,Total,Total,Cessnock,Strata,291,311,358,317,42,0.32%,-2.81%,35.48%,121.05%
Total,Total,Total,Clarence Valley,Total,353,455,630,509,274,3.41%,8.98%,-21.49%,18.10%
Total,Total,Total,Clarence Valley,Non Strata,355,465,635,516,241,5.68%,8.14%,-20.72%,21.72%
Total,Total,Total,Clarence Valley,Strata,349,421,505,459,33,-4.32%,14.87%,-26.67%,-2.94%
Total,Total,Total,Cobar,Total,140,194,229,204,s,29.00%,86.96%,-21.74%,0.00%
Total,Total,Total,Cobar,Non Strata,140,194,229,204,s,29.00%,86.96%,-21.74%,0.00%
Total,Total,Total,Coffs Harbour,Total,483,630,810,674,381,8.62%,23.53%,-16.08%,31.38%
Total,Total,Total,Coffs Harbour,Non Strata,589,710,876,755,276,10.08%,29.09%,-13.48%,35.96%
Total,Total,Total,Coffs Harbour,Strata,375,441,540,461,105,3.76%,19.84%,-22.22%,20.69%
Total,Total,Total,Coolamon,Total,136,210,280,204,s,-4.55%,-26.96%,-17.39%,35.71%
Total,Total,Total,Coolamon,Non Strata,136,210,280,204,s,-4.55%,-26.96%,-17.39%,35.71%
Total,Total,Total,Coonamble,Total,83,95,143,118,s,-2.06%,171.43%,18.18%,333.33%
Total,Total,Total,Coonamble,Non Strata,83,95,143,118,s,-2.06%,171.43%,18.18%,333.33%
Total,Total,Total,Gundagai,Total,223,275,426,325,66,-8.79%,8.91%,11.86%,26.92%
Total,Total,Total,Gundagai,Non Strata,220,280,430,326,65,-7.67%,2.94%,12.07%,32.65%
Total,Total,Total,Gundagai,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Cowra,Total,225,300,425,333,73,8.70%,7.14%,2.82%,97.30%
Total,Total,Total,Cowra,Non Strata,225,310,428,334,72,12.96%,10.54%,5.88%,94.59%
Total,Total,Total,Cowra,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Cumberland,Total,545,718,930,761,717,-1.64%,4.06%,-7.72%,27.35%
Total,Total,Total,Cumberland,Non Strata,847,940,1150,1000,339,3.30%,4.44%,-15.67%,22.83%
Total,Total,Total,Cumberland,Strata,450,550,614,547,378,-3.51%,-4.01%,0.80%,31.71%
Total,Total,Total,Western Plains Regional,Total,310,385,485,427,269,6.94%,12.41%,-15.14%,41.58%
Total,Total,Total,Western Plains Regional,Non Strata,310,390,488,430,263,6.85%,11.84%,-14.05%,45.30%
Total,Total,Total,Western Plains Regional,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Dungog,Total,433,600,843,648,36,14.29%,20.00%,-40.00%,33.33%
Total,Total,Total,Dungog,Non Strata,433,600,843,648,36,14.29%,20.00%,-40.00%,33.33%
Total,Total,Total,Edward River,Total,209,275,369,317,58,22.22%,11.79%,-12.12%,56.76%
Total,Total,Total,Edward River,Non Strata,209,275,369,317,58,15.79%,11.79%,-6.45%,56.76%
Total,Total,Total,Eurobodalla,Total,470,615,750,627,331,3.54%,26.02%,-8.06%,53.24%
Total,Total,Total,Eurobodalla,Non Strata,520,649,777,653,280,4.18%,24.71%,-8.50%,65.68%
Total,Total,Total,Eurobodalla,Strata,346,450,555,486,51,7.53%,25.00%,-5.56%,8.51%
Total,Total,Total,Fairfield,Total,650,803,901,787,416,4.22%,10.13%,-21.36%,38.67%
Total,Total,Total,Fairfield,Non Strata,765,855,935,881,315,4.27%,10.75%,-20.85%,37.55%
Total,Total,Total,Fairfield,Strata,415,470,561,494,101,7.80%,14.77%,-22.90%,42.25%
Total,Total,Total,Federation,Total,252,315,438,367,71,2.44%,8.62%,-24.47%,1.43%
Total,Total,Total,Federation,Non Strata,289,372,444,393,54,19.84%,23.83%,-33.33%,-5.26%
Total,Total,Total,Federation,Strata,196,240,300,286,s,-15.79%,-12.73%,30.77%,30.77%
Total,Total,Total,Forbes,Total,244,320,373,327,40,1.91%,12.28%,-28.57%,14.29%
Total,Total,Total,Forbes,Non Strata,244,320,373,327,40,1.91%,12.28%,-28.57%,14.29%
