Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
Total,Total,Total,Albury,House,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Albury,House,Not Specified,-,-,-,-,50,-,-,-,-
Total,Total,Total,Albury,House,2 Bedrooms,258,293,320,36,389,2.63%,12.50%,-20.00%,-26.53%
Total,Total,Total,Albury,House,3 Bedrooms,320,370,400,154,"1,736",5.71%,15.63%,-21.83%,-18.09%
Total,Total,Total,Albury,House,4 or more Bedrooms,400,450,470,102,904,0.00%,13.92%,18.60%,6.25%
Total,Total,Total,Albury,Other,Total,-,-,-,-,302,-,-,-,-
Total,Total,Total,Albury,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Albury,Other,1 Bedroom,-,-,-,-,51,-,-,-,-
Total,Total,Total,Albury,Other,Not Specified,-,-,-,-,52,-,-,-,-
Total,Total,Total,Albury,Other,2 Bedrooms,-,-,-,-,114,-,-,-,-
Total,Total,Total,Albury,Other,3 Bedrooms,-,-,-,-,61,-,-,-,-
Total,Total,Total,Albury,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Albury,Townhouse,Total,300,343,371,64,562,5.38%,14.17%,4.92%,10.34%
Total,Total,Total,Albury,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Albury,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Albury,Townhouse,2 Bedrooms,293,300,348,31,282,0.00%,15.38%,-3.12%,14.81%
Total,Total,Total,Albury,Townhouse,3 Bedrooms,336,355,380,s,245,5.19%,9.23%,25.00%,7.14%
Total,Total,Total,Albury,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Albury,Flat/Unit,Total,200,240,295,169,"2,371",-4.00%,14.29%,-27.47%,-15.08%
Total,Total,Total,Albury,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Albury,Flat/Unit,1 Bedroom,180,200,250,41,453,0.00%,11.11%,-14.58%,-4.65%
Total,Total,Total,Albury,Flat/Unit,Not Specified,-,-,-,-,39,-,-,-,-
Total,Total,Total,Albury,Flat/Unit,2 Bedrooms,215,240,290,111,"1,666",-4.00%,11.63%,-32.73%,-17.78%
Total,Total,Total,Albury,Flat/Unit,3 Bedrooms,295,320,380,s,208,3.23%,20.75%,-10.53%,-15.00%
Total,Total,Total,Albury,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Armidale Regional,Total,Total,260,320,390,374,"3,410",3.23%,0.00%,-11.79%,28.52%
Total,Total,Total,Armidale Regional,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Armidale Regional,Total,1 Bedroom,150,190,210,41,403,-5.00%,0.00%,-34.92%,36.67%
Total,Total,Total,Armidale Regional,Total,Not Specified,230,288,370,s,154,15.00%,6.48%,450.00%,214.29%
Total,Total,Total,Armidale Regional,Total,2 Bedrooms,250,270,300,105,"1,094",1.89%,3.85%,-19.23%,23.53%
Total,Total,Total,Armidale Regional,Total,3 Bedrooms,310,360,391,140,"1,197",2.86%,2.86%,-5.41%,40.00%
Total,Total,Total,Armidale Regional,Total,4 or more Bedrooms,384,443,500,64,553,2.91%,2.91%,-16.88%,-5.88%
Total,Total,Total,Armidale Regional,House,Total,290,360,420,235,"1,890",2.86%,2.86%,-9.96%,20.51%
Total,Total,Total,Armidale Regional,House,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Armidale Regional,House,1 Bedroom,128,155,206,s,88,10.71%,-22.50%,-40.74%,128.57%
Total,Total,Total,Armidale Regional,House,Not Specified,-,-,-,-,39,-,-,-,-
Total,Total,Total,Armidale Regional,House,2 Bedrooms,260,285,300,33,241,7.55%,3.64%,-13.16%,10.00%
Total,Total,Total,Armidale Regional,House,3 Bedrooms,310,370,399,118,987,5.71%,5.71%,-2.48%,37.21%
Total,Total,Total,Armidale Regional,House,4 or more Bedrooms,381,448,500,62,533,4.07%,2.87%,-15.07%,-6.06%
