,,,,,,,Percentile ratos,,,,,Income share,,,,,,
,,Earners,Median age of earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
LGA,LGA NAME,(persons),years,$,$,$,ratio,ratio,ratio,ratio,coef.,%,%,%,%,%,%,%
14650,Lake Macquarie,"1,12,593",44,"6,76,31,52,188","49,559","60,067",5.14,1.85,0.36,0.13,0.453,6.8,18.9,29.9,25.3,24.9,25.2,24.5
14700,Lane Cove,"25,499",41,"2,82,29,36,787","70,686","1,10,708",5.89,2.05,0.35,0.17,0.558,14.3,31.0,42.6,19.3,17.4,20.5,42.9
14750,Leeton,"6,184",44,"31,27,33,076","46,490","50,571",4.72,1.71,0.36,0.13,0.442,4.8,16.1,26.8,26.5,26.9,28.9,17.6
14850,Lismore,"23,601",46,"1,13,83,11,029","41,716","48,231",5.01,1.77,0.35,0.13,0.453,6.5,18.3,29.2,29.5,30.4,25.0,15.0
14870,Lithgow,"10,007",46,"57,09,12,843","46,086","57,051",5.60,2.01,0.36,0.12,0.468,5.1,17.5,29.5,27.3,26.0,23.1,23.6
14900,Liverpool,"1,07,293",39,"6,19,63,79,219","50,662","57,752",4.16,1.71,0.41,0.22,0.408,5.5,16.5,26.9,22.6,26.4,29.0,21.9
14920,Liverpool Plains,"3,935",48,"20,32,84,605","42,433","51,661",6.37,1.84,0.29,0.07,0.545,11.0,23.6,35.3,30.6,27.8,24.3,17.3
14950,Lockhart,"1,751",48,"8,78,04,922","44,199","50,146",5.60,1.78,0.32,0.11,0.492,7.0,19.0,30.3,30.6,25.5,26.3,17.6
15050,Maitland,"44,625",41,"2,80,69,09,520","52,421","62,900",4.68,1.83,0.39,0.16,0.437,6.6,17.9,28.8,22.5,24.9,26.1,26.5
15240,Mid-Coast,"44,297",51,"2,01,22,58,199","37,084","45,427",6.81,1.89,0.28,0.08,0.495,7.5,20.4,32.1,34.7,29.6,21.8,13.9
15270,Mid-Western Regional,"12,838",45,"75,61,92,841","45,213","58,903",6.34,2.13,0.34,0.10,0.501,6.7,19.2,31.6,28.2,26.2,20.8,24.8
15300,Moree Plains,"6,919",43,"43,38,70,984","48,857","62,707",4.82,1.73,0.36,0.13,0.623,17.8,31.8,42.2,25.9,24.9,28.4,20.8
15350,Mosman,"20,607",47,"3,43,75,06,498","75,311","1,66,813",7.89,2.45,0.31,0.14,0.670,21.8,43.2,55.5,20.1,16.4,17.3,46.2
15520,Murray River,"6,233",48,"33,00,66,222","42,998","52,955",5.35,1.82,0.34,0.11,0.490,9.0,21.8,32.8,29.3,27.7,25.6,17.4
15560,Murrumbidgee,"2,249",46,"11,43,01,074","43,894","50,823",4.41,1.75,0.40,0.14,0.523,7.4,21.8,32.9,27.1,29.4,27.0,16.6
15650,Muswellbrook,"8,424",42,"56,02,29,549","53,367","66,504",5.55,2.07,0.37,0.14,0.453,5.3,16.4,27.9,23.1,23.8,21.9,31.2
15700,Nambucca,"9,056",50,"39,16,41,998","35,870","43,247",6.61,1.90,0.29,0.08,0.491,7.0,19.5,31.1,35.5,30.1,21.5,12.9
15750,Narrabri,"7,269",45,"40,86,64,413","47,542","56,220",5.29,1.87,0.35,0.12,0.495,6.8,19.3,30.7,26.5,25.7,25.2,22.6
15800,Narrandera,"3,093",47,"14,21,55,568","42,210","45,960",5.87,1.77,0.30,0.07,0.498,6.2,18.0,29.2,30.8,27.5,26.6,15.1
15850,Narromine,"3,418",46,"17,36,81,486","44,020","50,814",5.42,1.81,0.33,0.09,0.505,7.0,19.8,31.1,29.2,27.2,25.5,18.1
15900,Newcastle,"91,558",41,"6,05,82,17,032","52,649","66,168",4.95,1.84,0.37,0.15,0.467,9.1,21.5,32.2,23.5,23.8,25.4,27.3
15950,North Sydney,"51,615",40,"5,89,85,86,716","76,063","1,14,280",5.50,1.97,0.36,0.17,0.546,15.2,30.5,41.4,17.8,16.2,20.2,45.8
15990,Northern Beaches,"1,74,481",45,"15,75,43,58,211","57,319","90,293",5.85,2.10,0.36,0.17,0.553,14.4,29.9,41.6,22.4,21.9,21.6,34.1
16100,Oberon,"2,943",48,"15,77,08,960","47,714","53,588",5.07,1.78,0.35,0.12,0.460,5.5,17.3,28.2,26.9,25.0,27.5,20.7
16150,Orange,"22,688",42,"1,43,46,88,362","51,430","63,236",4.69,1.83,0.39,0.17,0.454,8.5,20.5,31.0,23.2,25.1,26.3,25.3
16200,Parkes,"7,597",44,"39,23,32,284","44,128","51,643",5.40,1.88,0.35,0.12,0.469,5.3,17.2,28.7,28.2,27.9,24.2,19.8
16260,Parramatta,"1,46,880",38,"9,12,74,38,492","50,838","62,142",5.31,1.90,0.36,0.15,0.458,6.6,18.7,29.9,26.0,23.1,24.2,26.7
16350,Penrith,"1,15,989",39,"7,11,04,79,553","54,688","61,303",3.80,1.66,0.44,0.22,0.395,5.6,16.1,26.1,19.7,25.0,30.5,24.8
16380,Port Macquarie-Hastings,"43,386",48,"2,17,93,97,521","40,615","50,233",6.02,1.89,0.31,0.10,0.486,7.9,20.6,31.9,31.5,28.6,22.8,17.1
16400,Port Stephens,"38,018",46,"2,09,75,45,956","45,086","55,172",5.46,1.88,0.34,0.12,0.463,7.1,19.3,30.4,28.0,26.6,24.4,21.0
16490,Queanbeyan-Palerang Regional,"37,302",43,"2,70,14,22,949","63,094","72,420",3.81,1.67,0.44,0.22,0.410,6.0,17.4,27.8,17.0,21.1,28.5,33.4
16550,Randwick,"87,980",39,"7,59,62,30,493","60,208","86,340",5.55,1.95,0.35,0.16,0.525,12.4,27.5,38.7,21.9,20.5,22.3,35.3
16610,Richmond Valley,"11,197",46,"49,81,58,075","40,719","44,490",4.66,1.65,0.35,0.12,0.439,5.5,16.9,27.8,29.9,32.2,26.3,11.6
16700,Ryde,"76,127",39,"5,22,97,54,036","52,784","68,698",5.82,1.96,0.34,0.14,0.492,8.2,21.8,33.3,26.2,21.5,22.9,29.3
16900,Shellharbour,"37,952",42,"2,21,32,68,228","49,780","58,318",4.58,1.83,0.40,0.18,0.421,4.9,16.1,27.0,23.5,26.5,25.8,24.1
16950,Shoalhaven,"52,212",48,"2,60,27,37,117","40,880","49,849",5.28,1.88,0.36,0.13,0.463,6.6,19.1,30.3,29.9,29.9,23.3,16.9
17000,Singleton,"13,346",43,"93,57,47,648","54,700","70,114",5.95,2.10,0.35,0.13,0.475,6.6,18.3,29.6,23.6,22.8,20.3,33.3
17040,Snowy Monaro Regional,"12,129",46,"65,96,12,017","44,582","54,383",4.82,1.84,0.38,0.16,0.460,7.1,19.7,30.7,26.5,29.6,24.6,19.3
17080,Snowy Valleys,"7,916",47,"42,84,55,709","45,470","54,125",5.00,1.88,0.38,0.15,0.446,5.4,17.0,28.0,26.9,27.0,24.6,21.5
17100,Strathfield,"28,276",35,"1,85,98,94,858","46,484","65,776",5.22,1.99,0.38,0.17,0.516,12.4,26.2,37.4,27.3,25.5,23.1,24.1
17150,Sutherland Shire,"1,40,627",45,"10,58,59,31,808","57,835","75,277",4.96,1.87,0.38,0.17,0.477,9.6,22.5,33.5,21.4,22.2,24.0,32.5
17200,Sydney,"1,57,214",33,"12,85,49,64,329","54,628","81,767",6.35,2.08,0.33,0.15,0.552,14.3,29.0,40.4,26.3,20.5,20.7,32.5
17310,Tamworth Regional,"33,599",43,"1,81,17,92,394","47,207","53,924",4.63,1.72,0.37,0.14,0.451,6.8,18.4,29.3,25.8,27.1,28.1,18.9
17350,Temora,"3,372",49,"15,86,96,241","39,186","47,063",6.84,1.92,0.28,0.06,0.514,6.6,20.0,31.8,33.1,27.9,23.0,16.0
17400,Tenterfield,"3,113",54,"11,18,02,037","28,976","35,915",8.32,2.07,0.25,0.04,0.552,7.0,20.2,32.6,41.7,30.0,19.5,8.8
17420,The Hills Shire,"1,05,918",44,"8,17,08,68,055","56,709","77,143",5.83,2.00,0.34,0.14,0.504,10.1,23.5,34.9,23.8,21.1,21.5,33.5
17550,Tweed,"50,588",47,"2,58,53,33,029","40,994","51,106",5.15,1.89,0.37,0.14,0.473,7.8,20.6,31.7,29.8,29.8,23.4,17.0
17620,Upper Hunter Shire,"7,852",44,"46,95,96,490","47,313","59,806",5.33,1.99,0.37,0.13,0.491,8.0,20.1,32.1,26.2,26.7,23.7,23.5
17640,Upper Lachlan Shire,"4,634",50,"24,43,62,031","45,211","52,732",5.39,1.89,0.35,0.11,0.492,5.5,18.1,29.8,27.1,27.7,24.4,20.7
17650,Uralla,"3,411",48,"16,79,66,972","41,002","49,243",5.46,1.87,0.34,0.12,0.478,6.9,19.7,30.9,31.3,29.0,22.7,17.0
17750,Wagga Wagga,"36,355",42,"2,17,65,15,592","51,138","59,868",4.19,1.72,0.41,0.18,0.430,7.5,18.8,29.1,22.1,26.4,28.9,22.6
17850,Walcha,"1,822",51,"8,68,93,859","39,664","47,691",6.26,1.91,0.30,0.05,0.560,7.8,22.3,34.6,31.7,29.5,22.6,16.2
17900,Walgett,"2,605",44,"12,01,05,709","38,447","46,106",7.12,1.93,0.27,0.06,0.694,11.9,28.0,40.3,34.3,26.3,22.7,16.6
17950,Warren,"1,469",46,"8,42,55,432","46,512","57,356",5.46,1.81,0.33,0.11,0.545,9.0,23.8,35.2,26.9,26.5,24.9,21.7
18020,Warrumbungle Shire,"4,399",49,"20,37,80,818","38,009","46,324",6.81,1.93,0.28,0.05,0.543,8.4,21.7,33.8,33.7,29.0,22.0,15.4
18050,Waverley,"50,993",37,"5,47,11,00,368","63,934","1,07,291",6.21,2.14,0.34,0.18,0.583,16.8,33.9,45.3,21.1,19.8,20.1,39.1
18100,Weddin,"1,852",51,"9,43,48,088","41,625","50,944",5.87,1.94,0.33,0.11,0.516,6.5,21.0,32.9,31.3,27.4,22.7,18.7
18200,Wentworth,"3,456",46,"18,67,24,776","43,702","54,029",5.77,1.90,0.33,0.13,0.516,7.7,21.9,33.4,29.0,27.8,23.4,19.8
18250,Willoughby,"50,185",43,"5,13,59,49,986","60,792","1,02,340",7.31,2.31,0.32,0.13,0.585,14.2,31.5,43.7,24.1,19.0,18.7,38.3
18350,Wingecarribee,"29,511",49,"1,87,06,11,314","44,735","63,387",5.77,2.02,0.35,0.13,0.531,12.4,26.6,37.9,28.7,26.0,22.2,23.2
18400,Wollondilly,"29,666",43,"1,93,09,27,957","54,811","65,089",4.45,1.79,0.40,0.20,0.433,6.6,18.1,28.7,21.3,24.2,26.1,28.5
18450,Wollongong,"1,13,903",43,"7,13,85,41,170","50,484","62,672",5.27,1.90,0.36,0.15,0.459,7.0,19.3,30.4,25.1,24.3,24.0,26.6
18500,Woollahra,"39,772",44,"6,86,55,00,179","77,159","1,72,621",6.78,2.32,0.34,0.16,0.680,26.6,46.2,57.3,18.1,17.1,17.9,46.9
18710,Yass Valley,"10,173",47,"71,10,89,586","58,097","69,900",4.92,1.81,0.37,0.16,0.454,6.6,19.0,30.0,21.7,21.9,24.5,31.9
Victoria,,"36,03,810",41,"2,28,63,11,16,478","49,266","63,442",4.90,1.86,0.38,0.16,0.481,9.6,22.6,33.6,25.1,25.4,25.3,24.1
20110,Alpine,"7,546",49,"35,81,83,434","38,607","47,467",5.37,1.90,0.35,0.14,0.466,6.5,19.1,30.2,31.8,29.9,23.1,15.2
20260,Ararat,"6,215",47,"30,77,36,470","43,190","49,515",5.22,1.78,0.34,0.13,0.454,6.2,17.8,28.8,29.3,28.3,25.9,16.5
20570,Ballarat,"57,540",43,"3,32,99,07,939","47,859","57,871",4.66,1.78,0.38,0.16,0.453,8.4,20.3,30.8,25.2,26.8,26.8,21.2
20660,Banyule,"76,202",43,"5,37,19,75,506","54,519","70,497",5.19,1.89,0.37,0.16,0.479,9.4,22.1,33.2,23.4,22.7,24.0,30.0
20740,Bass Coast,"18,630",49,"87,55,34,430","37,559","46,996",5.65,1.92,0.34,0.13,0.482,6.6,20.0,31.7,33.4,30.0,21.8,14.8
20830,Baw Baw,"29,050",46,"1,56,62,02,330","44,473","53,914",5.17,1.88,0.36,0.14,0.463,6.0,18.7,30.0,27.9,27.5,24.4,20.2
20910,Bayside,"65,596",48,"6,92,87,88,067","61,075","1,05,628",7.29,2.35,0.32,0.14,0.590,15.2,32.6,44.5,23.3,19.6,18.4,38.7
21010,Benalla,"7,673",50,"36,63,91,060","41,382","47,751",5.49,1.80,0.33,0.11,0.462,5.8,17.9,29.0,30.9,28.4,25.4,15.3
21110,Boroondara,"1,15,441",45,"11,24,67,16,259","58,284","97,424",7.36,2.27,0.31,0.12,0.587,14.1,31.7,43.9,25.1,19.3,19.2,36.4
21180,Brimbank,"1,04,733",39,"5,34,60,02,556","44,657","51,044",4.29,1.73,0.40,0.19,0.418,5.3,16.7,27.4,26.7,29.2,27.5,16.5
21270,Buloke,"3,456",51,"17,37,89,186","40,377","50,286",6.46,1.94,0.30,0.09,0.501,6.7,20.5,32.0,33.1,25.0,24.3,17.6
21370,Campaspe,"21,378",47,"1,05,86,62,664","43,348","49,521",5.05,1.77,0.35,0.13,0.449,5.8,17.5,28.4,28.8,28.3,26.6,16.3
21450,Cardinia,"58,503",40,"3,35,96,05,863","49,998","57,426",4.04,1.71,0.42,0.20,0.414,6.0,17.2,27.6,22.2,27.5,29.0,21.2
21610,Casey,"1,79,915",39,"10,01,62,26,368","48,849","55,672",3.94,1.68,0.43,0.22,0.406,6.0,17.0,27.3,22.6,28.5,29.8,19.1
21670,Central Goldfields,"5,839",48,"25,49,81,439","38,497","43,669",5.49,1.74,0.32,0.12,0.445,5.8,17.5,28.3,32.1,31.6,25.1,11.2
21750,Colac-Otway,"13,013",46,"63,20,75,420","42,658","48,573",5.05,1.73,0.34,0.12,0.451,6.4,18.1,28.9,29.2,28.5,27.7,14.5
21830,Corangamite,"9,323",48,"43,21,02,045","39,678","46,348",5.69,1.85,0.32,0.12,0.491,6.2,18.7,30.1,32.0,28.7,23.9,15.4
21890,Darebin,"88,353",38,"5,61,27,03,509","51,258","63,526",4.75,1.84,0.39,0.19,0.449,6.9,19.4,30.4,23.6,25.0,25.3,26.2
22110,East Gippsland,"24,252",50,"1,11,16,96,970","38,352","45,839",5.67,1.85,0.33,0.11,0.475,6.5,19.0,30.4,32.7,30.1,23.0,14.2
22170,Frankston,"78,476",42,"4,50,63,23,021","50,037","57,423",4.17,1.71,0.41,0.19,0.415,5.8,17.1,27.6,22.8,26.9,29.1,21.2
22250,Gannawarra,"5,689",49,"26,34,03,941","39,492","46,301",5.74,1.81,0.32,0.09,0.497,7.6,20.2,31.5,31.4,30.4,24.5,13.8
22310,Glen Eira,"92,499",42,"7,08,91,88,944","55,256","76,641",5.70,2.02,0.35,0.15,0.508,9.8,23.9,35.7,23.9,21.7,22.1,32.2
22410,Glenelg,"10,907",48,"58,37,64,382","44,647","53,522",5.37,1.90,0.35,0.13,0.453,5.6,17.3,28.2,27.9,26.7,24.1,21.3
22490,Golden Plains,"13,317",45,"75,74,15,343","48,650","56,876",4.54,1.78,0.39,0.16,0.436,6.3,17.7,28.4,24.6,26.6,26.9,21.9
22620,Greater Bendigo,"63,107",44,"3,47,34,46,346","47,061","55,041",4.62,1.76,0.38,0.16,0.436,6.4,18.1,28.8,25.5,27.5,27.1,19.8
22670,Greater Dandenong,"82,443",37,"3,86,94,56,441","41,408","46,935",4.14,1.68,0.41,0.19,0.419,6.0,17.1,27.7,28.6,31.9,26.9,12.6
22750,Greater Geelong,"1,38,982",43,"8,24,34,82,999","48,258","59,313",4.83,1.83,0.38,0.16,0.456,7.6,20.0,30.9,25.3,26.3,25.7,22.7
22830,Greater Shepparton,"35,982",43,"1,84,59,30,547","44,307","51,301",4.67,1.75,0.38,0.16,0.442,6.3,18.2,28.8,27.7,28.3,27.0,17.0
22910,Hepburn,"8,527",50,"43,43,80,643","40,005","50,942",5.57,1.92,0.34,0.12,0.497,8.4,21.8,33.2,31.5,28.3,23.3,16.9
22980,Hindmarsh,"3,029",50,"17,07,33,395","46,228","56,366",4.92,1.75,0.36,0.14,0.471,8.0,21.5,32.6,26.5,27.5,27.1,18.9
23110,Hobsons Bay,"53,219",41,"3,74,42,75,831","56,246","70,356",4.68,1.84,0.39,0.19,0.452,7.3,19.8,31.0,21.2,23.0,25.5,30.3
23190,Horsham,"11,783",46,"62,24,46,508","46,597","52,826",4.58,1.72,0.38,0.14,0.430,5.7,17.3,27.9,26.0,27.6,28.2,18.1
23270,Hume,"1,08,651",38,"5,85,09,78,383","47,083","53,851",4.10,1.71,0.42,0.21,0.412,5.3,16.6,27.1,24.5,28.4,28.6,18.5
23350,Indigo,"9,787",49,"51,32,27,941","46,075","52,440",5.10,1.77,0.35,0.12,0.444,5.4,17.1,27.9,27.1,26.4,27.3,19.1
23430,Kingston,"94,050",43,"6,06,08,21,430","52,380","64,443",4.83,1.84,0.38,0.17,0.453,7.2,19.5,30.6,23.5,24.0,25.6,26.8
23670,Knox,"96,219",43,"5,59,83,72,417","49,534","58,184",4.61,1.78,0.39,0.17,0.435,5.9,17.7,28.6,24.4,25.9,27.1,22.7
23810,Latrobe,"38,088",44,"2,24,34,14,498","47,488","58,901",5.03,1.89,0.38,0.15,0.457,6.2,18.8,30.3,25.6,26.7,24.3,23.4
23940,Loddon,"3,843",51,"18,55,48,696","40,186","48,282",6.20,1.85,0.30,0.10,0.491,6.5,20.4,32.0,32.1,28.9,23.7,15.2
24130,Macedon Ranges,"28,586",46,"1,92,46,41,846","52,378","67,328",5.24,1.93,0.37,0.15,0.477,7.8,20.8,32.2,24.2,23.7,23.4,28.7
24210,Manningham,"74,564",47,"4,97,88,95,268","45,855","66,773",6.53,2.15,0.33,0.12,0.533,10.8,25.0,37.2,29.4,23.5,20.6,26.4
24250,Mansfield,"5,214",50,"24,65,40,901","38,450","47,284",5.25,1.90,0.36,0.13,0.471,5.8,18.9,30.6,31.8,30.4,22.7,15.2
24330,Maribyrnong,"51,991",36,"3,29,69,07,412","52,337","63,413",4.71,1.83,0.39,0.19,0.438,6.0,18.2,29.3,23.0,24.6,25.8,26.6
24410,Maroondah,"67,661",43,"4,09,56,01,127","50,897","60,531",4.77,1.81,0.38,0.16,0.437,5.7,17.6,28.7,24.0,24.9,26.2,24.9
24600,Melbourne,"93,580",32,"6,53,79,04,268","45,832","69,864",7.09,2.11,0.30,0.12,0.564,15.3,29.8,41.1,31.4,21.4,21.0,26.2
24650,Melton,"78,446",39,"4,52,97,82,233","51,292","57,744",3.93,1.68,0.43,0.22,0.396,5.1,15.8,26.1,21.4,26.9,29.9,21.8
24780,Mildura,"30,092",43,"1,52,82,17,083","44,017","50,785",4.56,1.74,0.38,0.16,0.448,6.5,18.5,29.1,27.1,29.7,27.0,16.2
24850,Mitchell,"23,844",42,"1,34,82,82,195","49,954","56,546",4.14,1.71,0.41,0.19,0.410,5.3,16.3,26.7,22.8,27.1,29.1,21.1
24900,Moira,"15,885",47,"74,37,66,238","40,902","46,822",5.63,1.83,0.32,0.11,0.469,5.7,17.6,28.7,30.9,28.7,25.1,15.3
24970,Monash,"1,10,654",42,"6,62,74,53,117","45,134","59,893",6.46,2.05,0.32,0.11,0.503,8.2,21.6,33.5,30.3,23.5,21.9,24.3
25060,Moonee Valley,"74,119",41,"5,44,70,65,852","56,666","73,491",5.13,1.88,0.37,0.17,0.476,8.5,21.7,33.1,22.3,22.0,24.5,31.3
25150,Moorabool,"19,247",44,"1,19,03,88,808","51,953","61,848",4.52,1.77,0.39,0.18,0.436,7.3,18.4,29.0,22.8,25.0,27.2,25.0
25250,Moreland,"1,02,635",36,"6,40,62,47,194","51,883","62,418",4.68,1.82,0.39,0.19,0.436,6.1,18.0,28.9,23.3,24.7,25.9,26.1
25340,Mornington Peninsula,"93,977",48,"5,85,50,75,189","45,701","62,303",5.31,1.97,0.37,0.15,0.501,10.2,23.9,35.3,27.0,26.8,23.0,23.3
25430,Mount Alexander,"10,112",50,"51,08,13,083","41,890","50,516",6.23,1.90,0.31,0.11,0.474,6.4,18.9,30.2,31.3,26.4,23.9,18.3
25490,Moyne,"10,000",47,"51,53,95,978","43,405","51,540",4.90,1.81,0.37,0.13,0.463,6.6,18.9,29.8,28.3,28.1,25.9,17.7
25620,Murrindindi,"8,097",49,"39,62,79,428","40,116","48,942",5.60,1.90,0.34,0.12,0.490,7.0,19.8,31.3,31.8,28.2,23.5,16.5
25710,Nillumbik,"40,468",46,"2,93,39,26,776","55,611","72,500",5.20,1.92,0.37,0.17,0.474,8.2,21.2,32.6,22.5,23.0,22.9,31.6
25810,Northern Grampians,"6,431",48,"31,09,58,962","42,116","48,353",5.33,1.77,0.33,0.12,0.450,5.7,17.8,28.7,30.3,28.0,26.5,15.3
25900,Port Phillip,"74,695",37,"6,74,00,46,796","62,315","90,234",5.32,1.96,0.37,0.18,0.525,12.9,27.8,39.0,20.4,19.8,23.3,36.4
25990,Pyrenees,"3,620",49,"16,70,01,850","38,503","46,133",6.15,1.88,0.31,0.10,0.504,7.1,19.8,31.3,33.6,28.1,23.7,14.7
26080,Queenscliffe,"1,990",59,"12,43,18,219","39,498","62,471",8.76,2.38,0.27,0.10,0.573,12.7,27.5,39.8,35.6,21.8,18.0,24.6
26170,South Gippsland,"16,512",49,"79,85,13,721","39,315","48,360",5.75,1.93,0.34,0.12,0.487,6.3,19.3,30.9,32.3,28.1,23.0,16.5
26260,Southern Grampians,"9,550",48,"50,00,22,476","42,821","52,358",5.16,1.82,0.35,0.13,0.484,9.6,21.7,32.6,28.7,29.2,25.0,17.1
26350,Stonnington,"76,418",38,"8,30,86,73,374","64,514","1,08,727",5.93,2.08,0.35,0.16,0.590,18.2,35.3,46.3,20.7,18.7,22.1,38.5
26430,Strathbogie,"5,980",51,"29,15,70,482","41,407","48,758",5.66,1.81,0.32,0.09,0.489,6.7,19.8,31.2,31.1,28.2,25.1,15.6
26490,Surf Coast,"20,093",46,"1,29,32,84,909","48,467","64,365",5.59,1.98,0.35,0.14,0.498,9.1,22.5,34.0,26.5,24.6,22.3,26.6
26610,Swan Hill,"11,730",44,"62,30,50,480","45,151","53,116",4.57,1.73,0.38,0.17,0.455,7.3,19.9,30.7,26.6,29.1,27.1,17.2
26670,Towong,"3,661",52,"17,27,83,418","39,341","47,196",5.66,1.88,0.33,0.11,0.481,6.8,19.0,30.3,32.3,28.1,24.1,15.5
26700,Wangaratta,"16,474",47,"84,81,72,946","43,804","51,486",5.08,1.78,0.35,0.13,0.456,7.7,19.3,29.9,28.2,28.5,26.0,17.3
26730,Warrnambool,"20,445",43,"1,18,74,29,858","46,605","58,079",4.52,1.74,0.38,0.17,0.465,11.7,23.0,32.9,25.8,27.7,27.9,18.6
26810,Wellington,"23,056",47,"1,23,91,56,904","43,267","53,746",5.67,1.93,0.34,0.12,0.495,6.3,20.2,32.0,29.4,27.0,23.5,20.1
26890,West Wimmera,"2,361",51,"12,53,10,557","43,252","53,075",5.41,1.95,0.36,0.12,0.497,6.1,19.7,31.3,28.5,27.9,23.9,19.8
26980,Whitehorse,"1,00,215",43,"6,23,77,45,057","46,165","62,244",6.52,2.08,0.32,0.12,0.505,8.0,21.8,33.8,29.6,23.1,21.4,25.9
27070,Whittlesea,"1,13,717",38,"6,25,69,35,538","48,592","55,022",4.08,1.70,0.42,0.21,0.402,4.9,15.8,26.3,23.2,28.1,28.9,19.7
27170,Wodonga,"23,169",42,"1,26,65,17,794","49,253","54,664",4.09,1.66,0.41,0.18,0.403,5.3,16.1,26.2,23.3,27.3,30.3,19.1
27260,Wyndham,"1,34,914",37,"7,77,87,55,537","50,282","57,657",4.25,1.73,0.41,0.20,0.412,5.0,16.3,27.0,23.0,26.4,28.4,22.2
27350,Yarra,"62,165",35,"5,20,82,48,204","63,503","83,781",4.83,1.85,0.38,0.19,0.483,9.5,23.6,34.7,19.4,19.9,24.5,36.2
27450,Yarra Ranges,"91,872",44,"5,41,00,97,846","49,136","58,887",4.45,1.78,0.40,0.18,0.439,7.0,18.8,29.5,23.8,26.9,26.9,22.4
27630,Yarriambiack,"3,624",51,"21,06,61,274","45,898","58,129",5.50,1.85,0.34,0.14,0.485,7.0,21.4,33.0,27.8,25.8,25.3,21.2
Queensland,,"27,98,990",42,"1,70,23,14,14,179","48,826","60,819",4.83,1.84,0.38,0.16,0.466,8.2,20.7,31.7,24.9,26.0,25.6,23.4
30250,Aurukun,352,40,"1,35,03,847","23,591","38,363",8.17,2.94,0.36,0.18,0.513,np,17.5,31.8,48.7,23.9,13.0,14.4
30300,Balonne,"2,609",43,"12,62,29,757","42,132","48,382",5.05,1.83,0.36,0.12,0.594,9.0,22.8,34.7,29.5,27.1,26.7,16.6
30370,Banana,"8,205",44,"50,60,51,525","49,898","61,676",5.99,2.06,0.34,0.11,0.513,5.7,18.0,30.6,25.7,24.2,22.9,27.2
30410,Barcaldine,"1,718",46,"9,13,94,606","45,003","53,198",5.93,1.93,0.33,0.08,0.582,7.9,22.2,34.4,28.1,25.8,24.8,21.3
30450,Barcoo,169,45,"1,03,36,516","49,068","61,163",np,np,np,np,0.457,np,20.5,31.2,23.4,26.9,28.7,21.1
30760,Blackall-Tambo,"1,051",46,"5,33,80,247","42,585","50,790",4.66,1.77,0.38,0.12,0.529,8.3,21.5,33.4,28.4,29.3,25.8,16.5
30900,Boulia,206,41,"1,18,09,356","51,576","57,327",2.84,1.55,0.55,0.28,0.423,np,15.2,26.3,17.5,30.6,33.5,18.4
31000,Brisbane,"7,41,548",39,"52,32,09,22,949","53,602","70,556",5.17,1.89,0.37,0.16,0.489,9.8,23.4,34.5,23.7,22.9,24.6,28.8
31750,Bulloo,179,43,"1,18,17,875","60,410","66,022",np,np,np,np,0.416,np,20.4,30.1,17.5,23.7,38.4,20.3
31820,Bundaberg,"46,716",46,"2,33,24,51,795","40,983","49,928",5.92,1.89,0.32,0.11,0.477,7.3,19.7,31.0,31.1,28.1,23.6,17.1
31900,Burdekin,"9,813",46,"54,26,50,966","47,772","55,299",4.53,1.78,0.39,0.17,0.430,5.2,16.7,27.4,24.6,27.2,26.6,21.6
31950,Burke,185,39,"1,02,45,933","48,420","55,383",np,np,np,np,0.392,np,15.8,26.1,21.3,31.7,27.3,19.7
32080,Cairns,"93,712",42,"5,45,51,34,609","48,546","58,212",4.27,1.77,0.42,0.20,0.432,6.9,18.8,29.4,23.3,28.2,27.1,21.5
32250,Carpentaria,"1,027",42,"5,31,43,440","46,527","51,746",4.49,1.79,0.40,0.17,0.410,3.6,14.4,25.4,25.3,28.8,26.2,19.6
32260,Cassowary Coast,"15,952",46,"76,48,47,837","40,593","47,947",4.87,1.80,0.37,0.14,0.457,6.2,18.5,29.8,29.6,31.7,23.8,14.9
32270,Central Highlands,"15,877",39,"1,18,22,99,587","58,694","74,466",5.57,2.05,0.37,0.17,0.472,6.2,18.1,29.7,21.6,21.8,21.8,34.8
32310,Charters Towers,"5,646",44,"31,36,93,452","47,434","55,560",5.42,1.89,0.35,0.13,0.484,5.7,17.9,29.4,26.4,25.7,24.5,23.3
32330,Cherbourg,222,39,"83,34,512","34,938","37,543",4.12,1.61,0.39,0.23,0.384,np,14.2,24.5,36.1,35.6,23.3,5.0
32450,Cloncurry,"1,604",38,"11,86,47,491","61,057","73,970",4.07,1.82,0.45,0.21,0.432,7.3,18.4,28.6,17.3,22.1,25.4,35.2
32500,Cook,"2,175",44,"10,81,39,609","41,905","49,719",4.93,1.82,0.37,0.18,0.456,6.6,18.4,29.3,29.4,29.1,25.1,16.4
32600,Croydon,132,42,"61,45,877","38,553","46,560",np,np,np,np,0.522,np,20.4,32.0,34.6,26.9,20.8,17.7
32750,Diamantina,161,40,"1,05,29,985","57,695","65,404",np,np,np,np,0.365,np,15.9,25.8,14.6,25.3,36.7,23.4
