,,,,,,,Percentile ratos,,,,,Income share,,,,,,
,,Earners,Median age of earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
LGA,LGA NAME,(persons),years,$,$,$,ratio,ratio,ratio,ratio,coef.,%,%,%,%,%,%,%
65410,Waratah/Wynyard,"6,984",47,"36,47,59,054","44,974","52,228",5.05,1.83,0.36,0.13,0.443,5.6,17.2,28.0,27.5,27.9,25.3,19.3
65610,West Coast,"1,972",45,"11,20,20,965","47,304","56,806",6.04,1.95,0.32,0.13,0.450,4.5,15.9,27.5,28.4,23.7,22.5,25.4
65810,West Tamar,"13,196",47,"71,63,15,368","45,423","54,283",5.10,1.85,0.36,0.15,0.455,6.7,18.8,29.7,27.2,27.1,25.3,20.3
Northern Territory,,"1,26,579",39,"9,05,81,29,929","60,636","71,561",4.07,1.71,0.42,0.21,0.423,6.6,18.4,29.0,18.5,21.6,28.2,31.8
70200,Alice Springs,"18,090",40,"1,19,29,96,456","58,323","65,948",4.06,1.69,0.42,0.22,0.401,5.6,16.4,26.5,19.3,22.5,29.0,29.2
70420,Barkly,"1,914",39,"11,17,78,690","52,543","58,401",4.53,1.71,0.38,0.19,0.399,4.4,14.8,25.3,22.4,24.5,29.1,24.0
70540,Belyuen,27,45,"6,09,322","10,577","22,567",np,np,np,np,np,np,np,np,np,np,np,np
70620,Central Desert,302,39,"1,69,21,977","44,420","56,033",5.97,1.95,0.33,0.18,0.442,np,16.1,27.3,30.5,22.3,24.3,23.0
70700,Coomalie,618,49,"3,24,56,395","46,260","52,518",4.92,1.79,0.36,0.14,0.512,6.4,19.3,30.9,27.4,25.3,27.3,20.0
71000,Darwin,"54,557",38,"4,13,48,90,769","61,643","75,790",4.10,1.74,0.42,0.21,0.441,8.0,20.6,31.2,18.0,21.4,27.4,33.1
71300,East Arnhem,556,38,"2,65,93,970","29,867","47,831",8.39,2.72,0.32,0.18,0.514,4.0,18.7,33.1,41.0,23.9,16.0,19.1
72200,Katherine,"5,597",38,"35,78,37,370","59,992","63,934",3.65,1.57,0.43,0.21,0.380,4.4,14.7,24.5,18.6,20.9,31.9,28.6
72300,Litchfield,"12,848",43,"95,10,12,357","64,406","74,020",3.81,1.70,0.45,0.23,0.406,4.7,16.3,27.2,16.5,20.4,28.7,34.5
72330,MacDonnell,381,37,"1,70,61,034","33,061","44,780",6.22,2.13,0.34,0.18,0.462,np,17.0,29.2,39.4,24.7,21.0,15.0
72800,Palmerston,"22,263",36,"1,67,37,69,107","66,804","75,182",3.26,1.61,0.49,0.26,0.380,4.6,15.9,26.3,14.3,19.6,31.2,34.8
73600,Roper Gulf,878,39,"3,90,84,467","36,280","44,515",5.65,2.01,0.36,0.18,0.451,4.0,15.8,28.0,33.1,32.0,19.6,15.3
74050,Tiwi Islands,301,39,"1,41,02,084","35,849","46,851",4.92,2.16,0.44,0.30,0.417,np,15.4,26.8,27.9,37.5,16.9,17.6
74550,Victoria Daly,610,40,"2,62,48,894","35,928","43,031",6.34,1.98,0.31,0.15,0.520,6.3,18.4,31.1,36.1,28.5,22.0,13.4
74560,Wagait,263,50,"1,86,79,704","62,104","71,025",4.48,1.77,0.39,0.11,0.424,np,16.5,27.3,19.5,19.5,25.7,35.2
74660,West Arnhem,"1,090",38,"6,37,80,934","47,876","58,515",5.87,2.00,0.34,0.17,0.449,5.2,16.5,28.0,29.3,22.3,22.7,25.7
74680,West Daly,470,38,"2,02,64,269","32,812","43,115",5.91,2.21,0.37,0.20,0.455,np,17.4,29.3,35.9,34.2,16.0,13.9
Australian Capital Territory,,"2,69,608",41,"20,14,73,19,133","64,332","74,728",4.16,1.69,0.40,0.19,0.424,6.6,18.4,28.8,18.2,20.2,26.5,35.2
89399,Unincorporated ACT,"2,69,562",41,"20,13,86,63,461","64,321","74,709",4.16,1.69,0.41,0.19,0.424,6.6,18.4,28.8,18.2,20.2,26.5,35.1
,,,,,,,,,,,,,,,,,,
Totals may not align with the sum of their components due to missing or unpublished information in the underlying data and perturbation.,,,,,,,,,,,,,,,,,,
np - not published to protect the confidentiality of individuals or businesses.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
